timestamp,amount,caller,amountFiat,date
1660510793000,0.1580308063218647,0x22fea913fd7f729303bae66ef40a044c73ffadce,306.0584464890329,8/14/2022, 4:59:53 PM
1660443473000,2.1493827284709575,0xca6ed3fdc8162304d7f1fcfc9ca3a81632d5e5b0,4162.712031262753,8/13/2022, 10:17:53 PM
1660396984000,0.13668626468519415,0xe7879a2d05dba966fcca34ee9c3f99eee7edefd1,270.96846784409644,8/13/2022, 9:23:04 AM
1660383197000,0.001,0xad4233e292b1cdfa58b06e88770115f44daffb76,1.9824118280514234,8/13/2022, 5:33:17 AM
1660361848000,0.001,0xcf92860923e2be3d22fcfabe4c899877c16eb08b,1.9824118280514234,8/12/2022, 11:37:28 PM
1660313017000,0.021653017270161327,0xf7253a0e87e39d2cd6365919d4a3d56d431d0041,42.42542635089606,8/12/2022, 10:03:37 AM
1660310163000,0.001,0x70f1e94b305aa9a8666229d4cb54631548e0b81f,1.959330924718741,8/12/2022, 9:16:03 AM
1660228761000,0.045372783972968185,0xf32dd1bd55bd14d929218499a2e7d106f72f79c7,85.36559922763789,8/11/2022, 10:39:21 AM
1660143701000,3.3244720416881295,0xbb1b7a99b1ba332fef349bbd23f8d79c475ce44f,6159.842953624138,8/10/2022, 11:01:41 AM
1660128685000,0.28894856568870936,0xf0fe43a75ff248fd2e75d33fa1ebde71c6d1abad,535.3866009393768,8/10/2022, 6:51:25 AM
1659916055000,0.3910101720976274,0xc33e51fe166c65c1dde7db68d981437aa8fd8e98,664.3287918536322,8/7/2022, 7:47:35 PM
1659815851000,0.005,0x7aeec47bca5115cb386033cdbf9640cddefc68b3,8.466482959180137,8/6/2022, 3:57:31 PM
1659803716000,0.1,0xf14729358c35e7a024639ea97aa991b2d577dad5,169.32965918360276,8/6/2022, 12:35:16 PM
1659362191000,0.0001,0x038fe37c30a1b122382ca8de2f0ec9a4295984b1,0.16360185563573557,8/1/2022, 9:56:31 AM
1659311998000,0.39429057089585395,0xe16a238d207b9ac8b419c7a866b0de013c73357b,663.2012247558777,7/31/2022, 7:59:58 PM
1659300687000,0.1835610958519767,0x22fea913fd7f729303bae66ef40a044c73ffadce,308.75185097621136,7/31/2022, 4:51:27 PM
1659209503000,2.2052534398692853,0x823b92d6a4b2aed4b15675c7917c9f922ea8adad,3741.841174554598,7/30/2022, 3:31:43 PM
1658994733000,0.1673093902254119,0x111040f27f05e2017e32b9ac6d1e9593e4e19a2a,288.36585201872424,7/28/2022, 3:52:13 AM
1658708585000,0.41484346836674696,0x0028c35095d34c9c8a3bc84cb8542cb182fcfa8e,601.7231020026761,7/24/2022, 8:23:05 PM
1658190096000,0.009523809523809525,0x0a343137da3b876db9bf11b28d3adba66ce2b92a,14.69171258507832,7/18/2022, 8:21:36 PM
1658180329000,0.015175485096637036,0xae009d532328ff09e09e5d506ab5bbec3c25c0ff,23.83551162214319,7/18/2022, 5:38:49 PM
1658166558000,0.08285602051316213,0x0b537e107caf82aa05774ef2bf029b0cf53928c8,130.13855091483447,7/18/2022, 1:49:18 PM
1658100896000,0.490432160974491,0xe16a238d207b9ac8b419c7a866b0de013c73357b,659.4940747892839,7/17/2022, 7:34:56 PM
1658090386000,0.2328422627833506,0x22fea913fd7f729303bae66ef40a044c73ffadce,313.10771373767267,7/17/2022, 4:39:46 PM
1658000047000,2.7044731849836072,0x5d95baebb8412ad827287240a5c281e3bb30d27e,3664.6845984025554,7/16/2022, 3:34:07 PM
1657890479000,0.2203307342796419,0x90eda5165e5e1633e0bdb6307cdecae564b10ff7,271.9099694645269,7/15/2022, 9:07:59 AM
1657819079000,0.08780487804878048,0x42550b707390d93916e8304f6bc931fe55fddc94,104.58709789261272,7/14/2022, 1:17:59 PM
1657691182000,0.0509977827051,0x85cc4d0d535d3b32bb6fc4e1a91371880731881a,56.75649224418849,7/13/2022, 1:46:22 AM
1657685609000,0.2784949196016846,0xf0fe43a75ff248fd2e75d33fa1ebde71c6d1abad,309.94278390143035,7/13/2022, 12:13:29 AM
1657681300000,0.08252380952380951,0x7cc4e967242e1cad92152d47ae0bb9169e97d553,91.84246268672749,7/12/2022, 11:01:40 PM
1657509363000,0.5754767277051968,0xe16a238d207b9ac8b419c7a866b0de013c73357b,631.5566114296139,7/10/2022, 11:16:03 PM
1657434471000,0.001,0x69234c22432c5d6d5c5b97f600b1827bb91726da,1.1690127076610182,7/10/2022, 2:27:51 AM
1657434345000,0.001,0x00b99e045e63ef702ce5abaf8b145f2b4a509787,1.1690127076610182,7/10/2022, 2:25:45 AM
1657434262000,0.001,0x6c2e47aca7f7e23f3ce8f1606cfaa157b5583c04,1.1690127076610182,7/10/2022, 2:24:22 AM
1657434262000,0.001,0x412e4f88c007a23b44a2f9cda46a923f90b9ad54,1.1690127076610182,7/10/2022, 2:24:22 AM
1657434262000,0.001,0xd10f1a1c8e7a59733ed7b1b55753e34e139d608c,1.1690127076610182,7/10/2022, 2:24:22 AM
1657434100000,0.001,0x4ca6b5ad4489d95adcd7032ec57ca3c103fb7f10,1.1690127076610182,7/10/2022, 2:21:40 AM
1657434039000,0.001,0x616ed83d247fc2a90b247852a0895f9ed4a3db0f,1.1690127076610182,7/10/2022, 2:20:39 AM
1657434000000,0.001,0xfc9cced2f18f7c554bbf82d48511fa9f59483db8,1.1690127076610182,7/10/2022, 2:20:00 AM
1657433910000,0.001,0xcf3c2ad2ae63a1c2e9723481abaf4544d9d6fc32,1.1690127076610182,7/10/2022, 2:18:30 AM
1657433864000,0.001,0xeb5f9f3cbd64a8658f8c5f7946d81ff316fb0794,1.1690127076610182,7/10/2022, 2:17:44 AM
1657433741000,0.001,0x7c4b8bfbf1a92d745593a75d0b8cf6d324d48101,1.1690127076610182,7/10/2022, 2:15:41 AM
1657433672000,0.001,0x266ecce1033a3b6189f215b619fca00558599cc0,1.1690127076610182,7/10/2022, 2:14:32 AM
1657433630000,0.001,0x3e51a14e55f55e6dbdafe8c1edde9cf3bb020586,1.1690127076610182,7/10/2022, 2:13:50 AM
1657433498000,0.001,0x9a718feed6a77c59ed5b386b3d580f5c044c195a,1.1690127076610182,7/10/2022, 2:11:38 AM
1657433451000,0.001,0x43640f8bc95a4e0ea894dff077753d02cc86dcf7,1.1690127076610182,7/10/2022, 2:10:51 AM
1657377322000,0.08,0xfd719ad7066b7d56062df652da7930ac5d6e28ba,97.34797654787683,7/9/2022, 10:35:22 AM
1657266757000,0.002439024390243903,0x6957835d15f0800d5bdfc99fa1b51dcc9bff2c5d,3.0085723884397537,7/8/2022, 3:52:37 AM
1657266024000,0.01,0xee9ab87e3dd3817aa3636e247d09650ccbfe83c8,12.33514679260299,7/8/2022, 3:40:24 AM
1657185159000,0.000714285714285715,0x9dfbede1c106ec37e641faaee884a2d21c2a7ed6,0.8859845754726547,7/7/2022, 5:12:39 AM
1657146127000,0.102625903388224,0x0b537e107caf82aa05774ef2bf029b0cf53928c8,121.99404298596451,7/6/2022, 6:22:07 PM
1656904303000,0.2782006342980708,0xf0fe43a75ff248fd2e75d33fa1ebde71c6d1abad,320.8622327406576,7/3/2022, 11:11:43 PM
1656900656000,0.618322211401236,0xe16a238d207b9ac8b419c7a866b0de013c73357b,713.1408805156605,7/3/2022, 10:10:56 PM
1656793806000,0.2939913913354791,0x22fea913fd7f729303bae66ef40a044c73ffadce,314.14200304906547,7/2/2022, 4:30:06 PM
1656792632000,9.132868665747132,0x823b92d6a4b2aed4b15675c7917c9f922ea8adad,9758.849207145528,7/2/2022, 4:10:32 PM
1656716768000,2.2838781323903974,0x823b92d6a4b2aed4b15675c7917c9f922ea8adad,2441.0533467871032,7/1/2022, 7:06:08 PM
1656548257000,0.02266586882808392,0xae009d532328ff09e09e5d506ab5bbec3c25c0ff,23.97212549322748,6/29/2022, 8:17:37 PM
1656440893000,0.021549316183344804,0x60535a6605958fff6cec5b1e92892601efb3473b,24.642365727509958,6/28/2022, 2:28:13 PM
1656381503000,0.21987671244915036,0xe7879a2d05dba966fcca34ee9c3f99eee7edefd1,251.43639440968562,6/27/2022, 9:58:23 PM
1656292448000,0.5494784243317301,0xf0fe43a75ff248fd2e75d33fa1ebde71c6d1abad,656.2006012149644,6/26/2022, 9:14:08 PM
1656133746000,0.08252380952380951,0x7cc4e967242e1cad92152d47ae0bb9169e97d553,102.68323773288168,6/25/2022, 1:09:06 AM
1655994322000,0.37462193707317076,0x752515a3a1091b9f1c04416cf79d1f14d2340085,428.7475968119417,6/23/2022, 10:25:22 AM
1655771636000,0.89044062,0x28c173b8f20488eef1b0f48df8453a2f59c38337,1001.3551431352838,6/20/2022, 8:33:56 PM
1655729250000,3.27,0x6860f1a0cf179ed93abd3739c7f6c8961a4eea3c,3701.8178670157718,6/20/2022, 8:47:30 AM
1655683244000,0.5885658653155811,0xc0b8eed3314b625d0c4ebc5432a5bd4f31370b4d,666.2885737433689,6/19/2022, 8:00:44 PM
1655682226000,0.33261304361697247,0x22fea913fd7f729303bae66ef40a044c73ffadce,374.44049483595427,6/19/2022, 7:43:46 PM
1655590637000,9.770358638356528,0x823b92d6a4b2aed4b15675c7917c9f922ea8adad,9723.9745375214,6/18/2022, 6:17:17 PM
1655565777000,0.12273302890632844,0x0b537e107caf82aa05774ef2bf029b0cf53928c8,122.15036235340962,6/18/2022, 11:22:57 AM
1655382536000,0.001,0xc6788b1b1d2f2b6bcefe0cf4f30a410d723a9756,1.0686035748646072,6/16/2022, 8:28:56 AM
1655247022000,0.02127650158484405,0x60535a6605958fff6cec5b1e92892601efb3473b,25.848104010799346,6/14/2022, 6:50:22 PM
1655242500000,0.336,0xe7879a2d05dba966fcca34ee9c3f99eee7edefd1,408.19506501083634,6/14/2022, 5:35:00 PM
1655241349000,0.21806245480465863,0xe7879a2d05dba966fcca34ee9c3f99eee7edefd1,264.91671998633984,6/14/2022, 5:15:49 PM
1655126306000,2,0x6860f1a0cf179ed93abd3739c7f6c8961a4eea3c,2411.1905710809574,6/13/2022, 9:18:26 AM
1655083708000,0.48713875065205003,0xe16a238d207b9ac8b419c7a866b0de013c73357b,587.2921811901903,6/12/2022, 9:28:28 PM
1654940505000,0.005231031871188178,0x8888d0f9be5178fe0d6b1e706308ae009de2b5ee,8.003680771934029,6/11/2022, 5:41:45 AM
1654913834000,0.08252380952380951,0x7cc4e967242e1cad92152d47ae0bb9169e97d553,126.26461542900822,6/10/2022, 10:17:14 PM
1654766637000,0.3,0x8eb8896a92a644431383f796905a5d0209c76586,536.5254859984814,6/9/2022, 5:23:57 AM
1654640607000,2,0x231a07c825f052b895de5fd1513ce40d18e14af5,3636.7754239658616,6/7/2022, 6:23:27 PM
1654591686000,0.05,0x65119595d7de66973b2de0d51648deac304e3d0e,90.91938559914655,6/7/2022, 4:48:06 AM
1654482904000,0.19109843939023108,0xe16a238d207b9ac8b419c7a866b0de013c73357b,355.47774472031125,6/5/2022, 10:35:04 PM
1654453673000,0.17204671830938764,0x21f0ed29e0bd46ba8ce6839dc92e573bc0d20f7f,310.60134196884155,6/5/2022, 2:27:53 PM
1654399506000,33.45352856015871,0xca6ed3fdc8162304d7f1fcfc9ca3a81632d5e5b0,60394.7053828303,6/4/2022, 11:25:06 PM
1654336650000,0.1,0xee9647f6e0cbde2f107b8669be01ae1fc7b9e9d7,180.42616695112486,6/4/2022, 5:57:30 AM
1654295399000,0.18461969644999104,0xf7253a0e87e39d2cd6365919d4a3d56d431d0041,328.06549111266366,6/3/2022, 6:29:59 PM
1654247629000,0.01,0x1378b43fd789b6b243f2b81168ad05131791462e,17.76979907458187,6/3/2022, 5:13:49 AM
1654242026000,0.08252380952380951,0x7cc4e967242e1cad92152d47ae0bb9169e97d553,146.6431514107161,6/3/2022, 3:40:26 AM
1654228319000,0.0005583,0x0c291c1abc3880d735feb2733a7ce29f2f85495b,0.9920878823339058,6/2/2022, 11:51:59 PM
1654212773000,0.01,0x30518e38c70a5f686b38eedad342aa2c943d7c6b,18.330898408457532,6/2/2022, 7:32:53 PM
1653917926000,0.13793388189396757,0xe7879a2d05dba966fcca34ee9c3f99eee7edefd1,275.307267273329,5/30/2022, 9:38:46 AM
1653916312000,0.15496322870180088,0xf0fe43a75ff248fd2e75d33fa1ebde71c6d1abad,309.29676186841596,5/30/2022, 9:11:52 AM
1653869431000,0.1964357823540373,0x0028c35095d34c9c8a3bc84cb8542cb182fcfa8e,392.07334479400004,5/29/2022, 8:10:31 PM
1653786186000,0.01,0xd50f7b7a5ced2c73e3140a12f489fb61cc26a0ce,18.149831598025937,5/28/2022, 9:03:06 PM
1653755896000,0.005238095238095239,0xac854f9cb427e945725559c010148faa746b402e,9.421734952556063,5/28/2022, 12:38:16 PM
