timestamp,returnAmount,amount,caller,returnAmountFiat,date
1651611567000,0.6192344602512487,270181.076025,0x584d5315493b530572ed2916e8d2b75c4d08c990,1725.2164637265964,5/3/2022, 4:59:27 PM
1651576344000,3.437738438248682,1500000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,9577.701714542822,5/3/2022, 7:12:24 AM
1651566840000,1.0221941290821386,446021.56,0xdc66f4759f4bf0184580e26a4de697c8fd972810,2847.881140047743,5/3/2022, 4:34:00 AM
1651563852000,2.390943851540918,1043281,0xdc66f4759f4bf0184580e26a4de697c8fd972810,6661.282537232556,5/3/2022, 3:44:12 AM
1651552090000,2.1142930061985834,922583,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5890.520210964695,5/3/2022, 12:28:10 AM
1651544864000,1.3174923420443367,574901.6799999999,0xdc66f4759f4bf0184580e26a4de697c8fd972810,3670.595913551661,5/2/2022, 10:27:44 PM
1651485455000,1.5477478647833731,675407,0xdc66f4759f4bf0184580e26a4de697c8fd972810,4428.682984616995,5/2/2022, 5:57:35 AM
1651415570000,2.0402480644450143,890341,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5779.02938385838,5/1/2022, 10:32:50 AM
1651415459000,2.091062087579453,912533,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5922.960770400761,5/1/2022, 10:30:59 AM
1651408143000,2.025520227895627,883947,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5737.3125937960285,5/1/2022, 8:29:03 AM
1651394171000,2.066995627840668,902064,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5854.792207754083,5/1/2022, 4:36:11 AM
1651394000000,3.062339125322421,1336482.107222911,0xdc66f4759f4bf0184580e26a4de697c8fd972810,8674.115710234213,5/1/2022, 4:33:20 AM
1651358411000,1.9303494762281577,842468,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5285.63300915792,4/30/2022, 6:40:11 PM
1651357972000,1.9758880841707034,862358,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5410.325647613493,4/30/2022, 6:32:52 PM
1651348743000,4.058469620143351,1771346.544055263,0xee9495f6f6ee548c6d441c366a7021a7befc4acf,11112.796545426594,4/30/2022, 3:59:03 PM
1651334660000,1.9412531893250748,847287.9999999999,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5315.4892743457485,4/30/2022, 12:04:20 PM
1651322126000,1.6221105819526214,708004,0xdc66f4759f4bf0184580e26a4de697c8fd972810,4441.621241157966,4/30/2022, 8:35:26 AM
1651317622000,1.1417640544306513,498351.890279792,0x066c4fe65a421400a29198ebd9e5362ef9164b8d,3126.3488032025816,4/30/2022, 7:20:22 AM
1651307361000,1.531006744267403,668256,0xdc66f4759f4bf0184580e26a4de697c8fd972810,4192.163069122262,4/30/2022, 4:29:21 AM
1651306126000,2.2910007538230204,1000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,6273.159009566497,4/30/2022, 4:08:46 AM
1651281386000,1.0176907413167122,444221,0xdc66f4759f4bf0184580e26a4de697c8fd972810,2786.614466272024,4/29/2022, 9:16:26 PM
1651272314000,1.9546915263246354,853236,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5507.323598225354,4/29/2022, 6:45:14 PM
1651270199000,7.41145382164589,3235375.837365713,0xee9495f6f6ee548c6d441c366a7021a7befc4acf,20881.696154817706,4/29/2022, 6:09:59 PM
1651256878000,11.896150521680319,5193671.07181086,0xee9495f6f6ee548c6d441c366a7021a7befc4acf,33517.28373186285,4/29/2022, 2:27:58 PM
1651133767000,2.1267900702588496,928588.3565699867,0xdc66f4759f4bf0184580e26a4de697c8fd972810,6236.716353308007,4/28/2022, 4:16:07 AM
1651133752000,3.435414991815988,1500000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,10074.200157070774,4/28/2022, 4:15:52 AM
1651133669000,2.203998736707708,962347.7003142618,0xdc66f4759f4bf0184580e26a4de697c8fd972810,6463.127299734934,4/28/2022, 4:14:29 AM
1651133598000,6.870268741067609,3000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,20146.754495530527,4/28/2022, 4:13:18 AM
1651133540000,2.2341084872081036,975574.6593091881,0xdc66f4759f4bf0184580e26a4de697c8fd972810,6551.4227906561355,4/28/2022, 4:12:20 AM
1651133416000,2.1899725338242324,956320.5058926378,0xdc66f4759f4bf0184580e26a4de697c8fd972810,6421.9960897855,4/28/2022, 4:10:16 AM
1651133363000,1.079291022853759,471311,0xdc66f4759f4bf0184580e26a4de697c8fd972810,3164.9724466652756,4/28/2022, 4:09:23 AM
1651133135000,4.579764211666078,2000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,13429.95284424863,4/28/2022, 4:05:35 AM
1651133104000,1.1043877434457914,482295,0xdc66f4759f4bf0184580e26a4de697c8fd972810,3238.5674525473933,4/28/2022, 4:05:04 AM
1651073519000,0.2501730001345529,109268.89449621536,0xad5a23b3d8ac3ad8fa18b79cd68cfca98cb5288f,722.8979555991565,4/27/2022, 11:31:59 AM
1650988730000,1.0221624421163167,446713.66,0xdc66f4759f4bf0184580e26a4de697c8fd972810,2868.9532445689833,4/26/2022, 11:58:50 AM
1650988488000,3.4321681713254417,1500000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,9633.234019676507,4/26/2022, 11:54:48 AM
1650977985000,1.0157409103726294,443925,0xdc66f4759f4bf0184580e26a4de697c8fd972810,2850.9296178223276,4/26/2022, 8:59:45 AM
1650960564000,1.062274810795145,464266.8576,0x3f23252d4bd604c56a8d7bbbecb3b0f49c69bf55,2981.5385886657646,4/26/2022, 4:09:24 AM
1650953510000,1.0231443331794672,447169,0xdc66f4759f4bf0184580e26a4de697c8fd972810,2871.7091661675177,4/26/2022, 2:11:50 AM
1650945081000,1.016076442587637,444084,0xdc66f4759f4bf0184580e26a4de697c8fd972810,2851.8713724762265,4/25/2022, 11:51:21 PM
1650939709000,1.0264092017640103,448607.00000000006,0xdc66f4759f4bf0184580e26a4de697c8fd972810,2880.8728322667366,4/25/2022, 10:21:49 PM
1650882880000,4.575084585533226,2000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,13763.393249649289,4/25/2022, 6:34:40 AM
1650882019000,4.574897001696389,2000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,13762.828934374806,4/25/2022, 6:20:19 AM
1650881678000,2.254283616837009,985521.2589758639,0xdc66f4759f4bf0184580e26a4de697c8fd972810,6781.643341169686,4/25/2022, 6:14:38 AM
1650881566000,2.2542381265611997,985521.2589758639,0xdc66f4759f4bf0184580e26a4de697c8fd972810,6781.5064911195295,4/25/2022, 6:12:46 AM
