timestamp,netTransferAmount,govFeeAmount,beneficiaryTransferAmount,beneficiary,netTransferAmountFiat,govFeeAmountFiat,beneficiaryTransferAmountFiat,date
1638650383000,12.769447537562078,0.638472376878104,0.8938613276293454,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,52375.891220112906,2618.794561005646,3666.3123854079035,12/4/2021, 3:39:43 PM
1637436474000,10.297553151534263,0,0.8619051987834178,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,45681.93080791817,0,3823.5776086227506,11/20/2021, 2:27:54 PM
1636227175000,21.04099019376391,1.0520495096881954,0.8710969940218258,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,95254.7541136311,4762.737705681555,3943.5468203043274,11/6/2021, 3:32:55 PM
1635034754000,8.158336765757568,0.4079168382878784,0.3548876493104542,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,33407.89134354225,1670.3945671771125,1453.243273444088,10/23/2021, 8:19:14 PM
1634184292000,1.3089401948278028,0.06544700974139014,0.018325162727589245,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,4966.795674950385,248.33978374751928,69.5351394493054,10/14/2021, 12:04:52 AM
1634002600000,8.315324696500806,0.41576623482504027,0.11641454575101128,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,29087.881326531086,1454.3940663265544,407.2303385714352,10/11/2021, 9:36:40 PM
1632601971000,11.859291097346265,0.5929645548673133,0.16840193358231695,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,34948.985119769444,1747.4492559884723,496.2755887007261,9/25/2021, 4:32:51 PM
1631395672000,10.151228286170857,0.5075614143085428,0.15226842429256285,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,33175.271412816306,1658.7635706408153,497.62907119224457,9/11/2021, 5:27:52 PM
1630205964000,21.831973699920834,1.0915986849960417,12.450774601064852,0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,70591.13592954075,3529.556796477037,40258.124820617086,8/28/2021, 10:59:24 PM
1629048604000,3.4524409092413895,0.17262204546206947,0.16986009273467637,0xac43e14c018490d045a774008648c701cda8c6b3,11426.733252273229,571.3366626136614,562.1952760118429,8/15/2021, 1:30:04 PM
1627010577000,2.4849477155961144,0.12424738577980571,0.9914941385228495,0xac43e14c018490d045a774008648c701cda8c6b3,5261.01850620274,263.050925310137,2099.146383974893,7/22/2021, 11:22:57 PM
1626835632000,0.47899793631722437,0.02394989681586122,0.1911201765905725,0xac43e14c018490d045a774008648c701cda8c6b3,959.7796233250156,47.98898116625078,382.9520697066812,7/20/2021, 10:47:12 PM
1626671470000,0.15061929042074176,0.007530964521037088,0.06009709687787596,0xac43e14c018490d045a774008648c701cda8c6b3,274.8695701048379,13.743478505241894,109.67295847183031,7/19/2021, 1:11:10 AM
1626639337000,0.028553460943801293,0.001427673047190065,0.011392830916576719,0xac43e14c018490d045a774008648c701cda8c6b3,54.41499818170131,2.720749909085066,21.711584274498826,7/18/2021, 4:15:37 PM
1626638016000,0.6021157457166546,0.030105787285832727,0.24024418254094518,0xac43e14c018490d045a774008648c701cda8c6b3,1147.4660557902803,57.373302789514014,457.8389562603218,7/18/2021, 3:53:36 PM
1626622962000,0.000553019137485535,0.000027650956874277,0.000220654635856731,0xac43e14c018490d045a774008648c701cda8c6b3,1.0539015014659452,0.052695075073297744,0.420506699084917,7/18/2021, 11:42:42 AM
1626622962000,0.000553019137485535,0.000027650956874277,0.000220654635856731,0xac43e14c018490d045a774008648c701cda8c6b3,1.0539015014659452,0.052695075073297744,0.420506699084917,7/18/2021, 11:42:42 AM
1626610839000,0.00533398404239775,0.000266699202119888,0.002128259632916704,0xac43e14c018490d045a774008648c701cda8c6b3,10.165098113309721,0.508254905665487,4.055874147210582,7/18/2021, 8:20:39 AM
1626610178000,0.024245382010898868,0.001212269100544944,0.009673907422348648,0xac43e14c018490d045a774008648c701cda8c6b3,46.20499142413511,2.310249571206757,18.435791578229907,7/18/2021, 8:09:38 AM
1626610110000,0.514002098631056,0.0257001049315528,0.20508683735379135,0xac43e14c018490d045a774008648c701cda8c6b3,979.5458181916641,48.97729090958322,390.83878145847405,7/18/2021, 8:08:30 AM
1626610024000,0.48490764021797733,0.024245382010898868,0.19347814844697295,0xac43e14c018490d045a774008648c701cda8c6b3,924.099828482702,46.20499142413511,368.7158315645981,7/18/2021, 8:07:04 AM
1626609964000,4.849076402179773,0.24245382010898867,1.9347814844697298,0xac43e14c018490d045a774008648c701cda8c6b3,9240.998284827021,462.049914241351,3687.1583156459815,7/18/2021, 8:06:04 AM
