wallet,totalPaid,balance,totalPaidFiat
0xfb16f4d4bd2b9794eef8400aeb4ea2b0423e0551,40,0,53328.2109961066
0xd8fdd6031fa27194f93e1a877f8bf5bfc9b47e1e,40,9285337.152,53328.2109961066
0x8f32188b684ae7fc0734e393ff5a3e7f803e5f10,40,4.19e-16,53328.2109961066
0xb42294161e0987a6a4b077c60fcdec358f3d48f3,39,0,51995.00572120393
0x69f0687e1b859b59dc3ff8f172f8f8220594e8c3,36,13995207.450499523,47995.38989649594
0x7ad27af6c9c64e7c1be6518b5acea7b54dd45ab1,31.5,0,41995.96615943395
0x380349b535d2c3996c8f3a94d937813d6f8ff666,30,0,39996.15824707995
0x2faafa46d5847146cefdc9e3bd212d60e79651a8,30,6964002.864,39996.15824707995
0x1db8c87636d7c583814c3c0a07dccc8daa2e22f6,30,10631,39996.15824707995
0xff5e6b374dc8fa984145bcaaf5c051e62a78e320,28,0,37329.74769727462
0x3b3f3ea865293f004e01c35b9e8ba80daabc8a72,25,5803335.720000001,33330.13187256663
0x01a23eba5023064d505dd45fbfa683a601c7685b,25,5803335.720000001,33330.13187256663
0x6d68ce90f5c48d928af4c2d7ccdd227d9a8c7b0a,24,0,31996.926597663958
0x3f106b32a9b26c07aa6e44923510909fc1b030b9,21.67,0,28890.558307140753
0xd71693f2bbe7bc17479f2de7f2fec38ab6148bdf,21.5,5001499.7192,28663.9134104073
0x9e84aaafe42302252a0378d016ae63a19f49e46a,21.046587644634144,0,28059.421666527498
0xcb33844b365c53d3462271cee9b719b6fc8ba06a,21,18900000,27997.310772955963
0x74686d9ece2c66d059425a72ef7fd042211e7b3b,20.5,0,27330.708135504632
0x3b9548359e9f9c225d5b447111026463a0e17e83,20.5,0,27330.708135504632
0xe6fb9e34ce5b7599a500f5dd3864e2eb85b0d7d2,20,4653299.576,26664.1054980533
0xd965952823153e5cbc611be87e8322cfc329f056,20,8736000,26664.1054980533
0xbd67ea50825eae3099f046ce4347b2b2c1c45508,20,0,26664.1054980533
0xb011e572ba36f5f242da31e9f0e0c4cbca649181,20,0,26664.1054980533
0x8a64f5ec2e49b33b6e4c2b61bc868e1d3cec167d,20,4642668.576,26664.1054980533
0x82cdc41af60c7a4f40a2a378e7b48eedca69213b,20,4653299.576,26664.1054980533
